,text
8539, then why do we have vidhansabhas ls rs and why re we paying our most revered milords with additional perks of 100 days of holidays a year when autowallahs at mumbai stations can codify the laws enforce them and deliver justice as per those laws at cheaper costs 
8540, nanhe fariste rpf madurai rescued one minor boy and handed over to child welfare committee madurai for better care and protection 
8541, indian railways undertake regular track maintenance work for smoother ride faster speeds and track safety due to this temporary speed restriction are being imposed which lead to train delay however inconvenience on account of train delay is deeply regretted
8542, nanhe fariste rpf tirunelveli rescued one minor boy and handed over to child help desk tirunelveli for better care and protection 
8543,as i am travelling with my family and my experience was really very bad with this train there are shortage of pillow toilets are dirty and jamed all toilets water tank are leaking train no 19616 pnr 6205846595 coach a1 next coach b7
8544, why it is not showing for booking online on irctc site
8545, sir my train is running late more train 6 hrs due to this i lost my job
8546, need a tejas or vande bharat train between ahemdabad to varanasi via vadodara surat which can reach destination in 15 hours one more suggestions when train is empty why dont t provide ticket in 50 discount 
8547,on 04 11 22 under operation amanat rpf rairakhol recovered one mobile phone on pf no 01 of rairakhol rly station total value rs 10 000 and handed over to its rightful owner 
8548, pnr 2146797082 no water on 1 side of coach possible leakage please check
8549, there is no safety precautions taken by worker as in image this may be cause major accident i think there is no value of labour life in indian working culture please take care of worker life they are one column of our nation 
8550, my train is getting late for more than 2 standinh outer of prayagraj past two hours i have to reach to destination to catch another train look into it train no 07652
8551, due to late arrival of link rake train is delayed by 08 hrs at saharsa inconvenience is regretted 
8552,i am traveling 14619 tripura sundari exp my coach no b2 not any staff clinging my coach water not available pnr 6311094784 name gaurav kumar mobile no 7903671924 
8553, train no 15715 kishanganj ajmer in hb 1coach cleaning not proper there are cockroaches and insects overthere washrooms are jam not cleaned properly 
8554, this person found in 13046 dumka hawrah train tried to contact with rpf but there is no response please take action immediately 
8555, due to late arrival of link rake train is delayed by 08 hrs at saharsa inconvenience is regretted 
8556, sir ji i am traveling in 12520 train from jabalpur to manmad toilets are very dirty facing problems in traveling my pnr no is 6611127078 please help us as early as possible i have already complained in 139
